id,title,author,location
74,Pride and Prejudice,William Faulkner,Springfield
75,Gone with the Wind,Homer,Springfield
76,Dracula,Leo Tolstoy,Quahog
77,Brave New World,Miguel de Cervantes,Springfield
78,Germinal,Herman Melville,Springfield
79,A Tale of Two Cities,Bram Stoker,Springfield
80,L'Assommoir,Cormac McCarthy,Hill Valley
81,The Professor,Paulo Coelho,Quahog
82,A Tale of Two Cities,Gabriel García Márquez,Hill Valley
83,Dracula,Victor Hugo,Quahog
84,Fahrenheit 451,Aldous Huxley,Quahog
85,Moby Dick,Frances Hodgson Burnett,Hill Valley
86,The Man in the Iron Mask,Victor Hugo,Hill Valley
87,The Lord of the Rings,Robert Louis Stevenson,Springfield
88,The Idiot,Charlotte Brontë,Springfield
89,The Road,J.D. Salinger,Springfield
90,Notes from Underground,William Faulkner,Hill Valley
91,The Phantom of the Opera,Bram Stoker,Hill Valley
92,Fahrenheit 451,Charlotte Brontë,Quahog
93,Les Enfants Terribles,Bram Stoker,Quahog
94,Slaughterhouse-Five,Louisa May Alcott,Springfield
95,Les Misérables,Emily Brontë,Hill Valley
96,The Outsiders,Oscar Wilde,Quahog
97,The Man in the Iron Mask,Frances Hodgson Burnett,Hill Valley
98,The Man in the Iron Mask,Louisa May Alcott,Quahog
99,Great Expectations,George Orwell,Springfield
100,The Bell Jar,Herman Melville,Quahog
101,Madame Bovary,Stephen Crane,Quahog
102,Slaughterhouse-Five,Homer,Springfield
103,Moby Dick,Frank Herbert,Quahog
104,Notes from Underground,William Golding,Springfield
105,The Hobbit,William Gibson,Hill Valley
106,Lord of the Flies,William Faulkner,Springfield
107,The War of the Worlds,Fyodor Dostoevsky,Hill Valley
108,Brave New World,Mary Shelley,Springfield
109,Song of Solomon,Alexandre Dumas,Hill Valley
110,The Hunchback of Notre-Dame,William Faulkner,Hill Valley
111,Blood Meridian,Gabriel García Márquez,Quahog
112,Crime and Punishment,William Gibson,Hill Valley
113,Neuromancer,Homer,Hill Valley
114,Journey to the Center of the Earth,Frank Herbert,Quahog
115,A Scanner Darkly,Robert Louis Stevenson,Hill Valley
116,The Invisible Man,George Orwell,Quahog
117,Persuasion,H.G. Wells,Quahog
118,Persuasion,John Steinbeck,Springfield
119,The Red Badge of Courage,Toni Morrison,Hill Valley
120,Madame Bovary,Ursula K. Le Guin,Springfield
121,The Grapes of Wrath,Robert Louis Stevenson,Hill Valley
122,Wuthering Heights,F. Scott Fitzgerald,Quahog
123,The Hunchback of Notre-Dame,Albert Camus,Quahog
124,Crime and Punishment,Oscar Wilde,Hill Valley
125,Around the World in 80 Days,Daniel Defoe,Quahog
126,The Professor,Frank Herbert,Quahog
127,Les Misérables,George Orwell,Hill Valley
128,Lord of the Flies,Robert Louis Stevenson,Hill Valley
129,Villette,Albert Camus,Quahog
130,Northanger Abbey,Sylvia Plath,Springfield
131,Persuasion,H.G. Wells,Hill Valley
132,Brave New World,William Gibson,Hill Valley
133,Sentimental Education,Gabriel García Márquez,Hill Valley
134,A Scanner Darkly,Philip K. Dick,Hill Valley
135,The Man in the Iron Mask,Ray Bradbury,Springfield
136,Treasure Island,Oscar Wilde,Quahog
137,The Call of the Wild,Ernest Hemingway,Springfield
138,The Time Machine,Oscar Wilde,Quahog
139,Catch-22,Toni Morrison,Springfield
140,Don Quixote,Robert Louis Stevenson,Quahog
141,Do Androids Dream of Electric Sheep?,William Faulkner,Springfield
142,The Idiot,Stephen Crane,Quahog
143,The Castle,Cormac McCarthy,Quahog
144,The Divine Comedy,Toni Morrison,Springfield
145,The Scarlet Letter,Frank Herbert,Quahog
146,Wuthering Heights,Fyodor Dostoevsky,Hill Valley
147,L'Assommoir,Victor Hugo,Springfield
148,The Phantom of the Opera,Barbara Kingsolver,Quahog
149,War and Peace,Frank Herbert,Quahog
150,One Hundred Years of Solitude,George Orwell,Quahog
151,Slaughterhouse-Five,Harper Lee,Springfield
152,The Sound and the Fury,William Golding,Springfield
153,Fahrenheit 451,Herman Melville,Hill Valley
154,The Metamorphosis,Stephen Crane,Quahog
155,Dune,Toni Morrison,Hill Valley
156,The Scarlet Letter,Louisa May Alcott,Quahog
157,War and Peace,Kurt Vonnegut,Springfield
158,The Masterpiece,Alexandre Dumas,Quahog
159,One Hundred Years of Solitude,Herman Melville,Springfield
160,Dune,William Golding,Springfield
161,The Divine Comedy,Charlotte Brontë,Hill Valley
162,The Outsiders,Leo Tolstoy,Quahog
163,Agnes Grey,Leo Tolstoy,Springfield
164,L'Assommoir,Mary Shelley,Hill Valley
165,The Man in the Iron Mask,Oscar Wilde,Hill Valley
166,War and Peace,William Golding,Springfield
167,Dune,Emily Brontë,Springfield
168,The Scarlet Letter,Robert Louis Stevenson,Quahog
169,Neuromancer,Herman Melville,Hill Valley
170,Anna Karenina,Miguel de Cervantes,Quahog
171,Les Enfants Terribles,Barbara Kingsolver,Springfield
172,Little Women,William Faulkner,Hill Valley
173,The Hunchback of Notre-Dame,Sylvia Plath,Quahog
174,One Hundred Years of Solitude,Jules Verne,Quahog
175,The Metamorphosis,Margaret Mitchell,Hill Valley
176,Song of Solomon,William Gibson,Springfield
177,Robinson Crusoe,Herman Melville,Hill Valley
178,A Scanner Darkly,Philip K. Dick,Quahog
179,Daisy Miller,Toni Morrison,Springfield
180,Catch-22,Dante Alighieri,Springfield
181,1984,Leo Tolstoy,Hill Valley
182,The Stranger,Albert Camus,Quahog
183,The Castle,Zora Neale Hurston,Hill Valley
184,Of Mice and Men,Robert Louis Stevenson,Springfield
185,Do Androids Dream of Electric Sheep?,Miguel de Cervantes,Quahog
186,The Sound and the Fury,John Steinbeck,Quahog
187,Around the World in 80 Days,Miguel de Cervantes,Springfield
188,Lord of the Flies,Ernest Hemingway,Hill Valley
189,Emma,Ernest Hemingway,Springfield
190,Moby Dick,Charlotte Brontë,Springfield
191,Island,Victor Hugo,Hill Valley
192,Fahrenheit 451,Cormac McCarthy,Hill Valley
193,The Hobbit,J.R.R. Tolkien,Springfield
194,Beloved,Fyodor Dostoevsky,Springfield
195,The Trial,Ernest Hemingway,Springfield
196,The War of the Worlds,Sylvia Plath,Hill Valley
197,Catch-22,Jules Verne,Quahog
198,The Metamorphosis,Louisa May Alcott,Quahog
199,Rebecca,J.D. Salinger,Quahog
200,Animal Farm,Emily Brontë,Quahog
201,Frankenstein,Zora Neale Hurston,Hill Valley
202,The Brothers Karamazov,F. Scott Fitzgerald,Hill Valley
203,Great Expectations,Toni Morrison,Quahog
204,The Idiot,Frank Herbert,Hill Valley
205,Their Eyes Were Watching God,George Orwell,Springfield
206,Gone with the Wind,Ernest Hemingway,Springfield
207,Twenty Thousand Leagues Under the Sea,H.G. Wells,Quahog
208,Slaughterhouse-Five,Frank Herbert,Hill Valley
209,The Odyssey,Zora Neale Hurston,Hill Valley
210,The Old Man and the Sea,Emily Brontë,Quahog
211,The Brothers Karamazov,Harper Lee,Quahog
212,The Alchemist,Kurt Vonnegut,Hill Valley
213,Les Enfants Terribles,J.R.R. Tolkien,Hill Valley
214,Crime and Punishment,Leo Tolstoy,Springfield
215,War and Peace,Leo Tolstoy,Hill Valley
216,The Lord of the Rings,Mary Shelley,Hill Valley
217,The Outsiders,Bram Stoker,Quahog
218,Song of Solomon,Harper Lee,Springfield
219,The Outsiders,George Orwell,Springfield
220,Fahrenheit 451,Jane Austen,Hill Valley
221,The Time Machine,George Orwell,Hill Valley
222,Slaughterhouse-Five,Miguel de Cervantes,Quahog
223,The Sound and the Fury,Nathaniel Hawthorne,Quahog
224,Dune,John Steinbeck,Springfield
225,The Importance of Being Earnest,Fyodor Dostoevsky,Hill Valley
226,The Scarlet Letter,Charles Dickens,Hill Valley
227,The Hobbit,Frank Herbert,Hill Valley
228,The Secret Garden,Frances Hodgson Burnett,Springfield
229,Villette,Philip K. Dick,Hill Valley
230,East of Eden,Mary Shelley,Hill Valley
231,Moby Dick,Charles Dickens,Hill Valley
232,Dune,Paulo Coelho,Hill Valley
233,Dracula,Louisa May Alcott,Hill Valley
234,One Hundred Years of Solitude,Sylvia Plath,Springfield
235,The Picture of Dorian Gray,Dante Alighieri,Quahog
236,The Outsiders,Cormac McCarthy,Springfield
237,The Secret Garden,Zora Neale Hurston,Quahog
238,The Secret Garden,Leo Tolstoy,Hill Valley
239,Sense and Sensibility,Miguel de Cervantes,Quahog
240,A Scanner Darkly,Philip K. Dick,Hill Valley
241,Sentimental Education,J.R.R. Tolkien,Springfield
242,Slaughterhouse-Five,Harper Lee,Quahog
243,The Scarlet Letter,Mary Shelley,Springfield
244,The Three Musketeers,Herman Melville,Quahog
245,Les Misérables,F. Scott Fitzgerald,Springfield
246,Neuromancer,Albert Camus,Quahog
247,Twenty Thousand Leagues Under the Sea,Bram Stoker,Springfield
248,The Secret Garden,Louisa May Alcott,Hill Valley
249,The Outsiders,Cormac McCarthy,Hill Valley
250,Sentimental Education,Nathaniel Hawthorne,Springfield
251,Pride and Prejudice,Albert Camus,Springfield
252,Villette,Ray Bradbury,Hill Valley
253,Slaughterhouse-Five,Leo Tolstoy,Springfield
254,Rebecca,Fyodor Dostoevsky,Springfield
255,The Metamorphosis,Joseph Heller,Springfield
256,The Metamorphosis,J.D. Salinger,Quahog
257,Rebecca,Emily Brontë,Springfield
258,The Lord of the Rings,George Orwell,Hill Valley
259,The Three Musketeers,Fyodor Dostoevsky,Hill Valley
260,Rebecca,Paulo Coelho,Springfield
261,Villette,George Orwell,Quahog
262,The Red Badge of Courage,Herman Melville,Quahog
263,Nana,Barbara Kingsolver,Quahog
264,The Hobbit,Alexandre Dumas,Springfield
265,A Scanner Darkly,Frances Hodgson Burnett,Quahog
266,Madame Bovary,John Steinbeck,Hill Valley
267,The Catcher in the Rye,William Gibson,Springfield
268,The Odyssey,Bram Stoker,Hill Valley
269,The Stranger,Margaret Mitchell,Springfield
270,The Brothers Karamazov,Sylvia Plath,Springfield
271,Dune,Paulo Coelho,Hill Valley
272,Les Enfants Terribles,Harper Lee,Hill Valley
273,One Hundred Years of Solitude,Daniel Defoe,Springfield
274,The Trial,Kurt Vonnegut,Quahog
275,Animal Farm,Harper Lee,Quahog
276,Dracula,Miguel de Cervantes,Hill Valley
277,Les Enfants Terribles,Alexandre Dumas,Springfield
278,The Picture of Dorian Gray,George Orwell,Quahog
279,Dracula,Oscar Wilde,Hill Valley
280,Twenty Thousand Leagues Under the Sea,William Golding,Quahog
281,Rebecca,Jane Austen,Hill Valley
282,Beloved,Charlotte Brontë,Quahog
283,To Kill a Mockingbird,John Steinbeck,Hill Valley
284,Journey to the Center of the Earth,Joseph Heller,Quahog
285,Pride and Prejudice,Charlotte Brontë,Springfield
286,The Catcher in the Rye,John Steinbeck,Hill Valley
287,Moby Dick,Harper Lee,Hill Valley
288,Gone with the Wind,George Orwell,Quahog
289,Blood Meridian,Dante Alighieri,Hill Valley
290,The Great Gatsby,Aldous Huxley,Springfield
291,A Tale of Two Cities,Miguel de Cervantes,Hill Valley
292,The Alchemist,Ray Bradbury,Hill Valley
293,The War of the Worlds,Miguel de Cervantes,Hill Valley
294,Moby Dick,Jules Verne,Hill Valley
295,Germinal,Frances Hodgson Burnett,Springfield
296,Villette,Miguel de Cervantes,Quahog
297,The Time Machine,Toni Morrison,Springfield
298,Of Mice and Men,John Steinbeck,Springfield
299,East of Eden,George Orwell,Springfield
300,The Divine Comedy,Kurt Vonnegut,Springfield
301,A Tale of Two Cities,Homer,Hill Valley
302,The Idiot,Alexandre Dumas,Hill Valley
303,Do Androids Dream of Electric Sheep?,F. Scott Fitzgerald,Hill Valley
304,Neuromancer,Daniel Defoe,Springfield
305,Anna Karenina,Sylvia Plath,Quahog
306,The Lord of the Rings,Harper Lee,Springfield
307,The Lord of the Rings,Kurt Vonnegut,Quahog
308,Les Enfants Terribles,Homer,Quahog
309,The Catcher in the Rye,Paulo Coelho,Springfield
310,Northanger Abbey,Victor Hugo,Hill Valley
311,Les Enfants Terribles,Bram Stoker,Springfield
312,Dracula,Albert Camus,Springfield
313,Slaughterhouse-Five,Margaret Mitchell,Quahog
314,The Brothers Karamazov,Oscar Wilde,Hill Valley
315,The Hobbit,Gabriel García Márquez,Springfield
316,Madame Bovary,Oscar Wilde,Hill Valley
317,Sense and Sensibility,Barbara Kingsolver,Springfield
318,Wuthering Heights,Herman Melville,Quahog
319,The Metamorphosis,H.G. Wells,Hill Valley
320,The Sound and the Fury,George Orwell,Springfield
321,The Divine Comedy,Dante Alighieri,Springfield
322,The Invisible Man,Dante Alighieri,Springfield
323,Nana,Barbara Kingsolver,Springfield
324,The Call of the Wild,H.G. Wells,Quahog
325,The Importance of Being Earnest,Frances Hodgson Burnett,Springfield
326,Journey to the Center of the Earth,Leo Tolstoy,Quahog
327,Their Eyes Were Watching God,F. Scott Fitzgerald,Quahog
328,The Time Machine,Charles Dickens,Quahog
329,To Kill a Mockingbird,Oscar Wilde,Quahog
330,Bouvard and Pécuchet,Robert Louis Stevenson,Springfield
331,The Red Badge of Courage,Daniel Defoe,Quahog
332,1984,Dante Alighieri,Hill Valley
333,The Picture of Dorian Gray,John Steinbeck,Springfield
334,Northanger Abbey,Nathaniel Hawthorne,Hill Valley
335,Emma,Sylvia Plath,Hill Valley
336,The Stranger,Charlotte Brontë,Springfield
337,Animal Farm,Cormac McCarthy,Hill Valley
338,The Hobbit,Margaret Mitchell,Springfield
339,L'Assommoir,Kurt Vonnegut,Springfield
340,The Scarlet Letter,Albert Camus,Quahog
341,Anna Karenina,Cormac McCarthy,Hill Valley
342,The Invisible Man,Kurt Vonnegut,Quahog
343,The Sound and the Fury,Barbara Kingsolver,Quahog
344,Notes from Underground,George Orwell,Quahog
345,The Alchemist,Barbara Kingsolver,Hill Valley
346,The Picture of Dorian Gray,Nathaniel Hawthorne,Springfield
347,The Stranger,Cormac McCarthy,Hill Valley
348,Brave New World,Victor Hugo,Hill Valley
349,East of Eden,John Steinbeck,Quahog
350,Crime and Punishment,William Golding,Springfield
351,The Outsiders,Frank Herbert,Springfield
352,The Catcher in the Rye,Jules Verne,Hill Valley
353,Animal Farm,George Orwell,Springfield
354,Blood Meridian,Gabriel García Márquez,Springfield
355,Daisy Miller,Daniel Defoe,Hill Valley
356,The Phantom of the Opera,Dante Alighieri,Quahog
357,To Kill a Mockingbird,Mary Shelley,Quahog
358,Crime and Punishment,Philip K. Dick,Hill Valley
359,Lord of the Flies,William Golding,Springfield
360,The Metamorphosis,Barbara Kingsolver,Springfield
361,Catch-22,Stephen Crane,Quahog
362,Fahrenheit 451,Harper Lee,Hill Valley
363,Treasure Island,Philip K. Dick,Springfield
364,L'Assommoir,Kurt Vonnegut,Quahog
365,The Masterpiece,Gabriel García Márquez,Springfield
366,Germinal,Sylvia Plath,Springfield
367,Song of Solomon,Ray Bradbury,Quahog
368,Sentimental Education,Daniel Defoe,Springfield
369,A Scanner Darkly,Cormac McCarthy,Hill Valley
370,The Call of the Wild,Ernest Hemingway,Hill Valley
371,East of Eden,Ray Bradbury,Quahog
372,East of Eden,Albert Camus,Quahog
373,Sense and Sensibility,Gabriel García Márquez,Hill Valley
374,East of Eden,Robert Louis Stevenson,Quahog
375,White Fang,Albert Camus,Quahog
376,Blood Meridian,Harper Lee,Springfield
377,A Tale of Two Cities,Margaret Mitchell,Hill Valley
378,The Scarlet Letter,Mary Shelley,Quahog
379,The War of the Worlds,Charles Dickens,Quahog
380,The Phantom of the Opera,Paulo Coelho,Hill Valley
381,Journey to the Center of the Earth,Gabriel García Márquez,Quahog
382,The Metamorphosis,Fyodor Dostoevsky,Quahog
383,The Secret Garden,Charlotte Brontë,Springfield
384,Island,Victor Hugo,Springfield
385,The Catcher in the Rye,Ursula K. Le Guin,Quahog
386,Of Mice and Men,Toni Morrison,Hill Valley
387,The Metamorphosis,Dante Alighieri,Springfield
388,The Castle,F. Scott Fitzgerald,Hill Valley
389,Pride and Prejudice,Emily Brontë,Quahog
390,The Professor,Leo Tolstoy,Hill Valley
391,The Road,Louisa May Alcott,Quahog
392,Crime and Punishment,H.G. Wells,Springfield
393,The Old Man and the Sea,Joseph Heller,Springfield
394,The Bell Jar,Oscar Wilde,Springfield
395,Agnes Grey,Philip K. Dick,Hill Valley
396,Heart of Darkness,Nathaniel Hawthorne,Hill Valley
397,1984,Charles Dickens,Hill Valley
398,The Odyssey,Albert Camus,Quahog
399,The Great Gatsby,Barbara Kingsolver,Springfield
400,Madame Bovary,Ray Bradbury,Hill Valley
401,To Kill a Mockingbird,Joseph Heller,Springfield
402,The Idiot,Nathaniel Hawthorne,Quahog
403,Twenty Thousand Leagues Under the Sea,Fyodor Dostoevsky,Springfield
404,Sense and Sensibility,Oscar Wilde,Hill Valley
405,The Outsiders,Kurt Vonnegut,Springfield
406,The Professor,Barbara Kingsolver,Hill Valley
407,One Hundred Years of Solitude,Stephen Crane,Quahog
408,Catch-22,William Gibson,Springfield
409,Neuromancer,Homer,Hill Valley
410,Don Quixote,Toni Morrison,Springfield
411,Sentimental Education,Harper Lee,Quahog
412,Villette,Mary Shelley,Hill Valley
413,The Three Musketeers,Albert Camus,Quahog
414,Dracula,Leo Tolstoy,Hill Valley
415,The Lord of the Rings,Ray Bradbury,Quahog
416,Their Eyes Were Watching God,Fyodor Dostoevsky,Springfield
417,Song of Solomon,Ernest Hemingway,Quahog
418,The War of the Worlds,John Steinbeck,Hill Valley
419,Mansfield Park,Charles Dickens,Hill Valley
420,Germinal,Gabriel García Márquez,Quahog
421,The Odyssey,George Orwell,Hill Valley
422,Treasure Island,Gabriel García Márquez,Hill Valley
423,The Invisible Man,William Gibson,Hill Valley
424,Madame Bovary,Albert Camus,Quahog
425,The Masterpiece,Ray Bradbury,Quahog
426,Rebecca,F. Scott Fitzgerald,Quahog
427,Do Androids Dream of Electric Sheep?,Victor Hugo,Hill Valley
428,Twenty Thousand Leagues Under the Sea,Alexandre Dumas,Springfield
429,The Idiot,Charlotte Brontë,Hill Valley
430,The Grapes of Wrath,Charlotte Brontë,Springfield
431,Les Enfants Terribles,Joseph Heller,Hill Valley
432,The Brothers Karamazov,Victor Hugo,Hill Valley
433,Mansfield Park,John Steinbeck,Springfield
434,The Alchemist,Bram Stoker,Quahog
435,Les Misérables,Harper Lee,Quahog
436,L'Assommoir,George Orwell,Quahog
437,Sentimental Education,Jules Verne,Springfield
438,Bouvard and Pécuchet,Stephen Crane,Springfield
439,Little Women,Herman Melville,Hill Valley
440,The Bell Jar,Victor Hugo,Quahog
441,Great Expectations,Frank Herbert,Springfield
442,Neuromancer,Stephen Crane,Quahog
443,Crime and Punishment,William Gibson,Hill Valley
444,The Road,Margaret Mitchell,Hill Valley
445,Twenty Thousand Leagues Under the Sea,Herman Melville,Quahog
446,Island,William Gibson,Quahog
447,The Scarlet Letter,John Steinbeck,Quahog
448,Animal Farm,Sylvia Plath,Quahog
449,Lord of the Flies,Frank Herbert,Quahog
450,Song of Solomon,Kurt Vonnegut,Quahog
451,Wuthering Heights,John Steinbeck,Springfield
452,Treasure Island,Cormac McCarthy,Quahog
453,A Tale of Two Cities,Gabriel García Márquez,Hill Valley
454,Their Eyes Were Watching God,Stephen Crane,Springfield
455,Brave New World,Ursula K. Le Guin,Springfield
456,The Time Machine,George Orwell,Hill Valley
457,Slaughterhouse-Five,Aldous Huxley,Hill Valley
458,The Brothers Karamazov,Charles Dickens,Hill Valley
459,Northanger Abbey,George Orwell,Hill Valley
460,The Outsiders,Philip K. Dick,Hill Valley
461,Island,Ernest Hemingway,Quahog
462,Madame Bovary,Philip K. Dick,Springfield
463,Bouvard and Pécuchet,H.G. Wells,Quahog
464,Do Androids Dream of Electric Sheep?,John Steinbeck,Quahog
465,Sentimental Education,Stephen Crane,Hill Valley
466,Persuasion,Oscar Wilde,Quahog
467,Bouvard and Pécuchet,Charlotte Brontë,Springfield
468,L'Assommoir,Harper Lee,Hill Valley
469,Germinal,H.G. Wells,Hill Valley
470,Song of Solomon,Bram Stoker,Quahog
471,Little Women,William Faulkner,Hill Valley
472,Heart of Darkness,Ernest Hemingway,Quahog
473,The Professor,Charles Dickens,Hill Valley
474,The Road,Homer,Springfield
475,Wuthering Heights,Emily Brontë,Springfield
476,A Tale of Two Cities,Harper Lee,Springfield
477,Little Women,George Orwell,Quahog
478,Brave New World,Zora Neale Hurston,Springfield
479,War and Peace,Jane Austen,Quahog
480,East of Eden,Stephen Crane,Quahog
481,Little Women,Emily Brontë,Hill Valley
482,East of Eden,George Orwell,Springfield
483,The Hunchback of Notre-Dame,Charlotte Brontë,Hill Valley
484,Their Eyes Were Watching God,Robert Louis Stevenson,Springfield
485,Journey to the Center of the Earth,Oscar Wilde,Quahog
486,The Picture of Dorian Gray,George Orwell,Springfield
487,Treasure Island,William Faulkner,Quahog
488,The Grapes of Wrath,Frances Hodgson Burnett,Hill Valley
489,Do Androids Dream of Electric Sheep?,Fyodor Dostoevsky,Quahog
490,Robinson Crusoe,Joseph Heller,Hill Valley
491,The Picture of Dorian Gray,Fyodor Dostoevsky,Quahog
492,The Secret Garden,Frances Hodgson Burnett,Quahog
493,Madame Bovary,William Golding,Springfield
494,The Old Man and the Sea,Charlotte Brontë,Quahog
495,The Bell Jar,Barbara Kingsolver,Quahog
496,Les Misérables,William Golding,Hill Valley
497,Emma,Albert Camus,Springfield
498,Great Expectations,Fyodor Dostoevsky,Springfield
499,Island,Harper Lee,Springfield
500,Madame Bovary,Frances Hodgson Burnett,Quahog
501,Sense and Sensibility,William Golding,Quahog
502,Agnes Grey,Sylvia Plath,Springfield
503,The Great Gatsby,George Orwell,Springfield
504,The Lord of the Rings,George Orwell,Springfield
505,One Hundred Years of Solitude,Harper Lee,Quahog
506,The Secret Garden,Aldous Huxley,Hill Valley
507,Mansfield Park,Philip K. Dick,Springfield
508,Song of Solomon,Cormac McCarthy,Springfield
509,Les Misérables,Harper Lee,Springfield
510,Daisy Miller,William Golding,Hill Valley
511,Island,Jane Austen,Quahog
512,The Great Gatsby,Daniel Defoe,Hill Valley
513,Heart of Darkness,J.D. Salinger,Hill Valley
514,Notes from Underground,Kurt Vonnegut,Hill Valley
515,The Sound and the Fury,Frances Hodgson Burnett,Quahog
516,Song of Solomon,Sylvia Plath,Hill Valley
517,Wuthering Heights,Charlotte Brontë,Springfield
518,Little Women,Charles Dickens,Quahog
519,Treasure Island,Kurt Vonnegut,Hill Valley
520,Dune,Barbara Kingsolver,Quahog
521,A Scanner Darkly,Leo Tolstoy,Quahog
522,Les Misérables,Albert Camus,Springfield
523,Madame Bovary,Dante Alighieri,Springfield
524,Jane Eyre,Fyodor Dostoevsky,Springfield
525,Agnes Grey,Paulo Coelho,Hill Valley
526,The Divine Comedy,Miguel de Cervantes,Hill Valley
527,The Bell Jar,Miguel de Cervantes,Quahog
528,Germinal,George Orwell,Springfield
529,Les Misérables,Dante Alighieri,Hill Valley
530,Les Enfants Terribles,Miguel de Cervantes,Quahog
531,Madame Bovary,Fyodor Dostoevsky,Hill Valley
532,The Hunchback of Notre-Dame,Harper Lee,Springfield
533,The Outsiders,Cormac McCarthy,Quahog
534,Sense and Sensibility,Charlotte Brontë,Springfield
535,Treasure Island,William Faulkner,Springfield
536,The Man in the Iron Mask,Gabriel García Márquez,Hill Valley
537,Beloved,J.D. Salinger,Hill Valley
538,Dracula,Albert Camus,Quahog
539,Little Women,Ursula K. Le Guin,Quahog
540,Heart of Darkness,Bram Stoker,Springfield
541,The Great Gatsby,Miguel de Cervantes,Springfield
542,Jane Eyre,Homer,Springfield
543,East of Eden,Herman Melville,Springfield
544,To Kill a Mockingbird,Fyodor Dostoevsky,Springfield
545,The Outsiders,William Golding,Springfield
546,Sense and Sensibility,J.D. Salinger,Springfield
547,Island,J.R.R. Tolkien,Hill Valley
548,Moby Dick,Victor Hugo,Hill Valley
549,Brave New World,J.D. Salinger,Springfield
550,Dune,William Gibson,Hill Valley
551,The Red Badge of Courage,Daniel Defoe,Springfield
552,The Call of the Wild,Ursula K. Le Guin,Springfield
553,The Lord of the Rings,H.G. Wells,Quahog
554,Blood Meridian,Aldous Huxley,Springfield
555,Fahrenheit 451,Philip K. Dick,Hill Valley
